Timestamp,Data
2026-03-15 12:37:41.628465,45.36
2026-03-15 12:37:41.678682,45.64
2026-03-15 12:37:41.728202,45.64
2026-03-15 12:37:41.778712,45.50
2026-03-15 12:37:41.828135,45.78
2026-03-15 12:37:41.878746,45.57
2026-03-15 12:37:41.928353,45.64
2026-03-15 12:37:41.978670,45.36
2026-03-15 12:37:42.027990,45.71
2026-03-15 12:37:42.078500,45.71
2026-03-15 12:37:42.128873,45.57
2026-03-15 12:37:42.178388,45.64
2026-03-15 12:37:42.228688,45.50
2026-03-15 12:37:42.278705,45.56
2026-03-15 12:37:42.328961,45.64
2026-03-15 12:37:42.378558,45.64
2026-03-15 12:37:42.428349,45.64
2026-03-15 12:37:42.478941,45.71
2026-03-15 12:37:42.528724,45.49
2026-03-15 12:37:42.579023,45.71
2026-03-15 12:37:42.628272,45.93
2026-03-15 12:37:42.678469,45.79
2026-03-15 12:37:42.728335,45.78
2026-03-15 12:37:42.778559,45.71
2026-03-15 12:37:42.828733,45.86
2026-03-15 12:37:42.878808,46.00
2026-03-15 12:37:42.928806,45.79
2026-03-15 12:37:42.978052,45.49
2026-03-15 12:37:43.028360,45.64
2026-03-15 12:37:43.078576,45.56
2026-03-15 12:37:43.128534,45.57
2026-03-15 12:37:43.177857,45.85
2026-03-15 12:37:43.228227,45.71
2026-03-15 12:37:43.278673,45.64
2026-03-15 12:37:43.328269,45.42
2026-03-15 12:37:43.378867,45.57
2026-03-15 12:37:43.427915,45.49
2026-03-15 12:37:43.478731,45.64
2026-03-15 12:37:43.528041,46.00
2026-03-15 12:37:43.578234,45.71
2026-03-15 12:37:43.628554,45.79
2026-03-15 12:37:43.678116,45.64
2026-03-15 12:37:43.728542,45.50
2026-03-15 12:37:43.777900,45.85
2026-03-15 12:37:43.829081,45.43
2026-03-15 12:37:43.878039,45.49
2026-03-15 12:37:43.928159,45.71
2026-03-15 12:37:43.977904,45.78
2026-03-15 12:37:44.028207,45.71
2026-03-15 12:37:44.078702,45.36
2026-03-15 12:37:44.128223,45.71
2026-03-15 12:37:44.178603,45.79
2026-03-15 12:37:44.227706,45.27
2026-03-15 12:37:44.278445,45.50
2026-03-15 12:37:44.327712,45.49
2026-03-15 12:37:44.378283,45.64
2026-03-15 12:37:44.428368,45.93
2026-03-15 12:37:44.477915,45.64
2026-03-15 12:37:44.528651,45.43
2026-03-15 12:37:44.578206,45.78
2026-03-15 12:37:44.628437,45.36
2026-03-15 12:37:44.677508,45.93
2026-03-15 12:37:44.727864,45.64
2026-03-15 12:37:44.777495,45.71
2026-03-15 12:37:44.828035,45.36
2026-03-15 12:37:44.878530,45.79
2026-03-15 12:37:44.928011,45.64
2026-03-15 12:37:44.978256,45.43
2026-03-15 12:37:45.027650,45.78
2026-03-15 12:37:45.078587,45.57
2026-03-15 12:37:45.127612,45.27
2026-03-15 12:37:45.177924,45.64
2026-03-15 12:37:45.228773,45.43
2026-03-15 12:37:45.278042,45.71
2026-03-15 12:37:45.328417,45.79
2026-03-15 12:37:45.377758,45.85
2026-03-15 12:37:45.427961,45.71
2026-03-15 12:37:45.477798,45.49
2026-03-15 12:37:45.527830,45.79
2026-03-15 12:37:45.577557,45.78
2026-03-15 12:37:45.627916,46.00
2026-03-15 12:37:45.677711,45.64
2026-03-15 12:37:45.727719,45.64
2026-03-15 12:37:45.777981,45.71
2026-03-15 12:37:45.827503,45.49
2026-03-15 12:37:45.877876,45.50
2026-03-15 12:37:45.927460,46.00
2026-03-15 12:37:45.977725,45.50
2026-03-15 12:37:46.027179,45.56
2026-03-15 12:37:46.077698,45.36
2026-03-15 12:37:46.128069,45.93
2026-03-15 12:37:46.177419,78.55
2026-03-15 12:37:46.227878,254.46
2026-03-15 12:37:46.277652,339.89
2026-03-15 12:37:46.327682,253.25
2026-03-15 12:37:46.377214,253.24
2026-03-15 12:37:46.427817,253.82
2026-03-15 12:37:46.477295,253.35
2026-03-15 12:37:46.527490,253.32
2026-03-15 12:37:46.577874,254.07
2026-03-15 12:37:46.627382,253.53
2026-03-15 12:37:46.677986,253.89
2026-03-15 12:37:46.727407,253.93
2026-03-15 12:37:46.777622,253.36
2026-03-15 12:37:46.827158,253.60
2026-03-15 12:37:46.877566,253.89
2026-03-15 12:37:46.928337,253.50
2026-03-15 12:37:46.977454,253.96
2026-03-15 12:37:47.028041,253.25
2026-03-15 12:37:47.077446,253.56
2026-03-15 12:37:47.127862,253.75
2026-03-15 12:37:47.177145,253.82
2026-03-15 12:37:47.227536,253.25
2026-03-15 12:37:47.277488,253.89
2026-03-15 12:37:47.327361,253.75
2026-03-15 12:37:47.377736,253.61
2026-03-15 12:37:47.427325,254.00
2026-03-15 12:37:47.478203,253.64
2026-03-15 12:37:47.527703,253.31
2026-03-15 12:37:47.577488,254.18
2026-03-15 12:37:47.627005,253.53
2026-03-15 12:37:47.677697,253.71
2026-03-15 12:37:47.727030,253.82
2026-03-15 12:37:47.777650,253.32
2026-03-15 12:37:47.827842,253.93
2026-03-15 12:37:47.877484,254.11
2026-03-15 12:37:47.927628,253.32
