Timestamp,Data
2026-03-15 12:42:00.750580,236.51
2026-03-15 12:42:00.800857,236.79
2026-03-15 12:42:00.849904,237.49
2026-03-15 12:42:00.900316,235.43
2026-03-15 12:42:00.949804,236.87
2026-03-15 12:42:01.000294,236.64
2026-03-15 12:42:01.049948,236.65
2026-03-15 12:42:01.100438,236.71
2026-03-15 12:42:01.150765,237.14
2026-03-15 12:42:01.200183,236.00
2026-03-15 12:42:01.250818,237.04
2026-03-15 12:42:01.300092,236.65
2026-03-15 12:42:01.350337,235.93
2026-03-15 12:42:01.399984,236.65
2026-03-15 12:42:01.450236,236.79
2026-03-15 12:42:01.500664,280.82
2026-03-15 12:42:01.550045,350.76
2026-03-15 12:42:01.600602,350.11
2026-03-15 12:42:01.650196,350.55
2026-03-15 12:42:01.700523,351.00
2026-03-15 12:42:01.749956,350.25
2026-03-15 12:42:01.800473,350.57
2026-03-15 12:42:01.849915,351.31
2026-03-15 12:42:01.900241,350.54
2026-03-15 12:42:01.949729,351.27
2026-03-15 12:42:02.000170,350.64
2026-03-15 12:42:02.050434,350.57
2026-03-15 12:42:02.099975,351.35
2026-03-15 12:42:02.150451,350.75
2026-03-15 12:42:02.199875,350.22
2026-03-15 12:42:02.250348,351.00
2026-03-15 12:42:02.299638,350.76
2026-03-15 12:42:02.350461,350.43
2026-03-15 12:42:02.400574,350.57
2026-03-15 12:42:02.449877,350.87
2026-03-15 12:42:02.500505,350.46
2026-03-15 12:42:02.549964,351.56
2026-03-15 12:42:02.600304,350.61
2026-03-15 12:42:02.649710,351.09
2026-03-15 12:42:02.700113,351.29
2026-03-15 12:42:02.749508,350.95
2026-03-15 12:42:02.799920,351.04
2026-03-15 12:42:02.849477,351.35
2026-03-15 12:42:02.899903,350.75
2026-03-15 12:42:02.950356,351.07
2026-03-15 12:42:02.999818,351.13
2026-03-15 12:42:03.050459,350.61
2026-03-15 12:42:03.099516,350.76
2026-03-15 12:42:03.150162,351.07
2026-03-15 12:42:03.199551,350.62
2026-03-15 12:42:03.250099,351.32
2026-03-15 12:42:03.299483,351.16
2026-03-15 12:42:03.349970,350.86
2026-03-15 12:42:03.399271,351.56
2026-03-15 12:42:03.449649,350.93
2026-03-15 12:42:03.500223,306.89
2026-03-15 12:42:03.549673,237.53
2026-03-15 12:42:03.599857,237.07
2026-03-15 12:42:03.649317,236.80
2026-03-15 12:42:03.699741,237.57
2026-03-15 12:42:03.749205,236.80
2026-03-15 12:42:03.799547,236.21
2026-03-15 12:42:03.849191,237.45
2026-03-15 12:42:03.899407,236.46
2026-03-15 12:42:03.949800,236.36
2026-03-15 12:42:03.999606,237.38
2026-03-15 12:42:04.050042,236.00
2026-03-15 12:42:04.099395,236.65
2026-03-15 12:42:04.149943,237.64
2026-03-15 12:42:04.199327,236.36
2026-03-15 12:42:04.249821,236.57
2026-03-15 12:42:04.299295,237.09
2026-03-15 12:42:04.349466,236.07
2026-03-15 12:42:04.399999,237.07
2026-03-15 12:42:04.449550,237.31
2026-03-15 12:42:04.499785,236.00
2026-03-15 12:42:04.549541,237.09
2026-03-15 12:42:04.599596,237.21
2026-03-15 12:42:04.648951,236.36
2026-03-15 12:42:04.699294,237.21
2026-03-15 12:42:04.749128,237.16
2026-03-15 12:42:04.799530,236.14
2026-03-15 12:42:04.849978,237.43
2026-03-15 12:42:04.899340,236.73
2026-03-15 12:42:04.949473,236.43
2026-03-15 12:42:04.999214,237.75
2026-03-15 12:42:05.049391,236.29
2026-03-15 12:42:05.099032,236.29
2026-03-15 12:42:05.149464,237.36
2026-03-15 12:42:05.198969,236.22
2026-03-15 12:42:05.249192,236.50
2026-03-15 12:42:05.299738,237.29
2026-03-15 12:42:05.349220,236.36
2026-03-15 12:42:05.399465,236.29
2026-03-15 12:42:05.449254,237.24
2026-03-15 12:42:05.499576,279.79
2026-03-15 12:42:05.548976,350.80
2026-03-15 12:42:05.599772,350.82
2026-03-15 12:42:05.649728,350.68
2026-03-15 12:42:05.699402,351.27
2026-03-15 12:42:05.749722,350.43
2026-03-15 12:42:05.799012,350.62
2026-03-15 12:42:05.849673,351.43
2026-03-15 12:42:05.898707,350.84
2026-03-15 12:42:05.949733,350.61
2026-03-15 12:42:05.998621,351.20
2026-03-15 12:42:06.049219,351.04
2026-03-15 12:42:06.099579,350.32
2026-03-15 12:42:06.148934,351.16
2026-03-15 12:42:06.199308,350.57
2026-03-15 12:42:06.248845,350.76
2026-03-15 12:42:06.299184,351.21
2026-03-15 12:42:06.348820,350.22
2026-03-15 12:42:06.399040,351.04
2026-03-15 12:42:06.448692,351.27
2026-03-15 12:42:06.498807,350.43
2026-03-15 12:42:06.549447,350.79
2026-03-15 12:42:06.598852,350.91
2026-03-15 12:42:06.649261,350.93
2026-03-15 12:42:06.698853,350.84
2026-03-15 12:42:06.748887,351.07
2026-03-15 12:42:06.798810,350.76
2026-03-15 12:42:06.849040,351.39
2026-03-15 12:42:06.898651,351.31
2026-03-15 12:42:06.948775,350.93
2026-03-15 12:42:06.998624,351.31
2026-03-15 12:42:07.048799,350.79
2026-03-15 12:42:07.099039,350.79
2026-03-15 12:42:07.148694,351.64
2026-03-15 12:42:07.198919,350.68
2026-03-15 12:42:07.248743,351.13
2026-03-15 12:42:07.298822,351.04
2026-03-15 12:42:07.348496,350.84
2026-03-15 12:42:07.398842,351.21
2026-03-15 12:42:07.449473,351.11
2026-03-15 12:42:07.498421,309.13
2026-03-15 12:42:07.549227,236.86
2026-03-15 12:42:07.598744,237.24
2026-03-15 12:42:07.648868,236.57
2026-03-15 12:42:07.698140,236.22
2026-03-15 12:42:07.748584,237.64
2026-03-15 12:42:07.798216,236.65
2026-03-15 12:42:07.848957,236.93
2026-03-15 12:42:07.898220,237.45
2026-03-15 12:42:07.948668,236.21
2026-03-15 12:42:07.998656,236.93
2026-03-15 12:42:08.048409,237.35
2026-03-15 12:42:08.098890,236.29
2026-03-15 12:42:08.148297,237.31
2026-03-15 12:42:08.198536,237.29
2026-03-15 12:42:08.248175,235.85
2026-03-15 12:42:08.298469,237.39
2026-03-15 12:42:08.348021,237.09
2026-03-15 12:42:08.398516,236.21
2026-03-15 12:42:08.448732,237.29
2026-03-15 12:42:08.498528,236.80
2026-03-15 12:42:08.548846,236.50
2026-03-15 12:42:08.598192,237.82
2026-03-15 12:42:08.648413,236.57
2026-03-15 12:42:08.697987,236.65
2026-03-15 12:42:08.748463,237.50
2026-03-15 12:42:08.798875,236.21
2026-03-15 12:42:08.848282,237.31
2026-03-15 12:42:08.898932,237.29
2026-03-15 12:42:08.948143,236.22
2026-03-15 12:42:08.998495,236.64
2026-03-15 12:42:09.048065,237.09
2026-03-15 12:42:09.098403,236.39
2026-03-15 12:42:09.147970,236.87
2026-03-15 12:42:09.198333,237.29
2026-03-15 12:42:09.247964,236.22
2026-03-15 12:42:09.298505,237.25
2026-03-15 12:42:09.347843,237.13
2026-03-15 12:42:09.398222,236.07
2026-03-15 12:42:09.448627,237.21
2026-03-15 12:42:09.497876,278.44
2026-03-15 12:42:09.548553,350.25
2026-03-15 12:42:09.598079,351.20
2026-03-15 12:42:09.648432,350.68
2026-03-15 12:42:09.697811,350.80
2026-03-15 12:42:09.748260,351.54
2026-03-15 12:42:09.797800,350.76
2026-03-15 12:42:09.848004,350.79
2026-03-15 12:42:09.898413,351.36
2026-03-15 12:42:09.948045,350.76
2026-03-15 12:42:09.998538,351.21
2026-03-15 12:42:10.047943,351.35
2026-03-15 12:42:10.098323,350.71
2026-03-15 12:42:10.147986,351.56
2026-03-15 12:42:10.198235,351.07
2026-03-15 12:42:10.247463,350.73
2026-03-15 12:42:10.298112,351.50
2026-03-15 12:42:10.348498,351.39
2026-03-15 12:42:10.398014,350.55
2026-03-15 12:42:10.448400,351.25
2026-03-15 12:42:10.497953,351.35
2026-03-15 12:42:10.548276,351.00
2026-03-15 12:42:10.597890,351.82
2026-03-15 12:42:10.647879,350.89
2026-03-15 12:42:10.697345,350.87
2026-03-15 12:42:10.747991,351.29
2026-03-15 12:42:10.797547,350.87
2026-03-15 12:42:10.848001,351.04
2026-03-15 12:42:10.898336,351.32
2026-03-15 12:42:10.947721,350.98
2026-03-15 12:42:10.998045,350.93
2026-03-15 12:42:11.047567,351.53
2026-03-15 12:42:11.097903,350.82
2026-03-15 12:42:11.147500,351.38
2026-03-15 12:42:11.197881,351.46
2026-03-15 12:42:11.247192,350.87
2026-03-15 12:42:11.297788,351.32
2026-03-15 12:42:11.348114,351.46
2026-03-15 12:42:11.397679,350.98
2026-03-15 12:42:11.447975,351.18
2026-03-15 12:42:11.497452,310.00
2026-03-15 12:42:11.547880,236.43
2026-03-15 12:42:11.597356,237.31
2026-03-15 12:42:11.647577,237.29
2026-03-15 12:42:11.698384,236.54
2026-03-15 12:42:11.747418,237.67
2026-03-15 12:42:11.797984,237.07
2026-03-15 12:42:11.847246,236.65
2026-03-15 12:42:11.898048,237.93
2026-03-15 12:42:11.947605,236.73
2026-03-15 12:42:11.997721,236.71
2026-03-15 12:42:12.046987,237.53
2026-03-15 12:42:12.097969,236.50
2026-03-15 12:42:12.148322,235.86
2026-03-15 12:42:12.197368,237.71
2026-03-15 12:42:12.247609,237.00
2026-03-15 12:42:12.297000,236.95
2026-03-15 12:42:12.347422,237.50
2026-03-15 12:42:12.397346,236.29
2026-03-15 12:42:12.447349,237.18
2026-03-15 12:42:12.497097,237.27
2026-03-15 12:42:12.547420,235.93
2026-03-15 12:42:12.597705,236.82
2026-03-15 12:42:12.647056,237.60
2026-03-15 12:42:12.697662,236.29
2026-03-15 12:42:12.746929,237.16
2026-03-15 12:42:12.797281,237.29
2026-03-15 12:42:12.846793,236.07
2026-03-15 12:42:12.897491,237.36
2026-03-15 12:42:12.946834,237.02
2026-03-15 12:42:12.997329,236.07
2026-03-15 12:42:13.047466,237.36
2026-03-15 12:42:13.097006,236.84
2026-03-15 12:42:13.147515,236.29
2026-03-15 12:42:13.197162,237.56
2026-03-15 12:42:13.247197,236.36
2026-03-15 12:42:13.296692,236.80
