Timestamp,Data
2026-03-15 12:27:38.803023,605.18
2026-03-15 12:27:38.852467,605.02
2026-03-15 12:27:38.902781,605.89
2026-03-15 12:27:38.953113,606.07
2026-03-15 12:27:39.002703,605.56
2026-03-15 12:27:39.052975,687.93
2026-03-15 12:27:39.102436,605.16
2026-03-15 12:27:39.153000,606.29
2026-03-15 12:27:39.202668,605.71
2026-03-15 12:27:39.253007,607.50
2026-03-15 12:27:39.302265,607.09
2026-03-15 12:27:39.352887,606.04
2026-03-15 12:27:39.403337,604.93
2026-03-15 12:27:39.452932,605.27
2026-03-15 12:27:39.503314,605.79
2026-03-15 12:27:39.553030,605.05
2026-03-15 12:27:39.603052,606.14
2026-03-15 12:27:39.652527,606.62
2026-03-15 12:27:39.703083,605.57
2026-03-15 12:27:39.752675,605.38
2026-03-15 12:27:39.802979,605.75
2026-03-15 12:27:39.853386,605.04
2026-03-15 12:27:39.902878,606.29
2026-03-15 12:27:39.953275,605.29
2026-03-15 12:27:40.002757,605.27
2026-03-15 12:27:40.052943,605.07
2026-03-15 12:27:40.102826,606.04
2026-03-15 12:27:40.153011,605.54
2026-03-15 12:27:40.202496,606.04
2026-03-15 12:27:40.252899,601.57
2026-03-15 12:27:40.303281,606.36
2026-03-15 12:27:40.352665,606.55
2026-03-15 12:27:40.402905,604.64
2026-03-15 12:27:40.452504,607.42
2026-03-15 12:27:40.503079,605.75
2026-03-15 12:27:40.552556,604.00
2026-03-15 12:27:40.602714,607.32
2026-03-15 12:27:40.652265,604.98
2026-03-15 12:27:40.702664,605.61
2026-03-15 12:27:40.753645,606.14
2026-03-15 12:27:40.802730,606.33
2026-03-15 12:27:40.853074,606.79
2026-03-15 12:27:40.902666,605.75
2026-03-15 12:27:40.952904,605.93
2026-03-15 12:27:41.002411,606.62
2026-03-15 12:27:41.052882,617.71
2026-03-15 12:27:41.102580,606.00
2026-03-15 12:27:41.152840,605.50
2026-03-15 12:27:41.202302,606.29
2026-03-15 12:27:41.252818,605.79
2026-03-15 12:27:41.303015,605.54
2026-03-15 12:27:41.352486,605.71
2026-03-15 12:27:41.403005,605.86
2026-03-15 12:27:41.452569,606.87
2026-03-15 12:27:41.502948,606.79
2026-03-15 12:27:41.552286,662.58
2026-03-15 12:27:41.602728,607.11
2026-03-15 12:27:41.653324,605.57
2026-03-15 12:27:41.702434,605.85
2026-03-15 12:27:41.753004,606.54
2026-03-15 12:27:41.802489,604.58
2026-03-15 12:27:41.852758,605.57
2026-03-15 12:27:41.902089,605.75
2026-03-15 12:27:41.952564,605.89
2026-03-15 12:27:42.002260,602.84
2026-03-15 12:27:42.052456,606.93
2026-03-15 12:27:42.102333,604.65
2026-03-15 12:27:42.152517,606.57
2026-03-15 12:27:42.202960,604.39
